,Rating,Restaurant_Name,Location,City,Country
0,1,Osteria Francescana,"Modena, Italy",Modena, Italy
1,2,El Celler de Can Roca,"Girona, Spain",Girona, Spain
2,3,Mirazur,"Menton, France",Menton, France
3,4,Eleven Madison Park,"New York, USA",New York, USA
4,5,Gaggan,"Bangkok, Thailand",Bangkok, Thailand
5,6,Central,"Lima, Peru",Lima, Peru
6,7,Maido,"Lima, Peru",Lima, Peru
7,8,Arpège,"Paris, France",Paris, France
8,9,Mugaritz,"San Sebastian, Spain",San Sebastian, Spain
9,10,Asador Etxebarri,"Axpe, Spain",Axpe, Spain
10,11,Quintonil,"Mexico City, Mexico",Mexico City, Mexico
11,12,Blue Hill at Stone Barns,"Pocantico Hills, USA",Pocantico Hills, USA
12,13,Pujol,"Mexico City, Mexico",Mexico City, Mexico
13,14,Steirereck,"Vienna, Austria",Vienna, Austria
14,15,White Rabbit,"Moscow, Russia",Moscow, Russia
15,16,Piazza Duomo,"Alba, Italy",Alba, Italy
16,17,Den,"Tokyo, Japan",Tokyo, Japan
17,18,Disfrutar,"Barcelona, Spain",Barcelona, Spain
18,19,Geranium,"Copenhagen, Denmark",Copenhagen, Denmark
19,20,Attica,"Melbourne, Australia",Melbourne, Australia
20,21,Alain Ducasse au Plaza Athénée,"Paris, France",Paris, France
21,22,Narisawa,"Tokyo, Japan",Tokyo, Japan
22,23,Le Calandre,"Rubano, Italy",Rubano, Italy
23,24,Ultraviolet by Paul Pairet,"Shanghai, China",Shanghai, China
24,25,Cosme,"New York, USA",New York, USA
25,26,Le Bernardin,"New York, USA",New York, USA
26,27,Boragó,"Santiago, Chile",Santiago, Chile
27,28,Odette,Singapore,Singapore,
28,29,Alléno Paris au Pavillon Ledoyen,"Paris, France",Paris, France
29,30,D.O.M,"São Paulo, Brazil",São Paulo, Brazil
30,31,Arzak,"San Sebastian, Spain",San Sebastian, Spain
31,32,Tickets,"Barcelona, Spain",Barcelona, Spain
32,33,The Clove Club,"London, UK",London, UK
33,34,Alinea,"Chicago, USA",Chicago, USA
34,35,Maaemo,"Oslo, Norway",Oslo, Norway
35,36,Reale,"Castel di Sangro, Italy",Castel di Sangro, Italy
36,37,Restaurant Tim Raue,"Berlin, Germany",Berlin, Germany
37,38,Lyle's,"London, UK",London, UK
38,39,Astrid y Gastón,"Lima, Peru",Lima, Peru
39,40,Septime,"Paris, France",Paris, France
40,41,Nihonryori Ryugin,"Tokyo, Japan",Tokyo, Japan
41,42,The Ledbury,"London, UK",London, UK
42,43,Azurmendi,"Larrabetzu, Spain",Larrabetzu, Spain
43,44,Mikla,"Istanbul, Turkey",Istanbul, Turkey
44,45,Dinner by Heston Blumenthal,"London, UK",London, UK
45,46,Saison,"San Francisco, USA",San Francisco, USA
46,47,Schloss Schauenstein,"Fürstenau, Switzerland",Fürstenau, Switzerland
47,48,Hiša Franko,"Kobarid, Slovenia",Kobarid, Slovenia
48,49,Nahm,"Bangkok, Thailand",Bangkok, Thailand
49,50,The Test Kitchen,"Cape Town, South Africa",Cape Town, South Africa
